"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área plantada (Hectares)"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Ano x Produto das lavouras temporárias"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"2000";;"2001";;"2002";;"2003";;"2004";;"2005";;"2006";;"2007";;"2008";;"2009";;"2010";;"2011";;"2012";;"2013";;"2014";;"2015";;"2016";;"2017";;"2018";;"2019";;"2020";;"2021";;"2022";;"2023"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)"
"MU";"5100409";"      Alto Garças";"100,00";"18,31";"100,00";"9,13";"100,00";"9,18";"100,00";"5,41";"100,00";"2,75";"100,00";"4,16";"100,00";"6,50";"100,00";"6,66";"100,00";"10,15";"100,00";"15,43";"100,00";"17,88";"100,00";"14,97";"100,00";"16,33";"100,00";"21,62";"100,00";"22,08";"100,00";"25,06";"100,00";"25,74";"100,00";"27,06";"100,00";"27,19";"100,00";"26,76";"100,00";"26,88";"100,00";"27,27";"100,00";"23,16";"100,00";"29,46"
"MU";"5100607";"      Alto Taquari";"100,00";"14,10";"100,00";"14,44";"100,00";"15,76";"100,00";"12,09";"100,00";"9,45";"100,00";"9,88";"100,00";"11,28";"100,00";"26,57";"100,00";"26,37";"100,00";"20,77";"100,00";"23,34";"100,00";"21,24";"100,00";"23,16";"100,00";"21,07";"100,00";"24,05";"100,00";"26,66";"100,00";"27,77";"100,00";"2,28";"100,00";"28,35";"100,00";"28,30";"100,00";"28,18";"100,00";"29,68";"100,00";"31,05";"100,00";"31,53"
"Fonte: IBGE - Produção Agrícola Municipal"

"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área colhida (Hectares)"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Ano x Produto das lavouras temporárias"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"2000";;"2001";;"2002";;"2003";;"2004";;"2005";;"2006";;"2007";;"2008";;"2009";;"2010";;"2011";;"2012";;"2013";;"2014";;"2015";;"2016";;"2017";;"2018";;"2019";;"2020";;"2021";;"2022";;"2023"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)"
"UF";"51";"Mato Grosso";"4715558";"541792";"4866341";"536420";"5626452";"719945";"6440194";"880623";"7894146";"941092";"8916841";"1043815";"7988973";"1079970";"7986278";"1648671";"8817779";"1830447";"8702562";"1662920";"9376401";"2011742";"9880377";"1921101";"11261948";"2740553";"12704132";"3416701";"13499111";"3330803";"14062535";"3570606";"14249896";"3736321";"15540733";"4784797";"15471367";"4417207";"16592915";"5026279";"17149919";"5318762";"17917523";"5808096";"19120862";"6414777";"21218780";"7429526"
"ME";"5101";"  Norte Mato-grossense";"2919649";"310082";"2998434";"314423";"3524847";"489934";"4090851";"613390";"5013759";"674256";"5716276";"762638";"5210745";"758482";"5252033";"1217718";"5897164";"1338201";"5742268";"1167300";"6178629";"1415787";"6410430";"1308342";"7362382";"1891121";"8339326";"2417378";"8682575";"2212384";"9018245";"2437077";"9205025";"2610252";"10169229";"3445186";"10022829";"3111299";"11022864";"3641603";"11314594";"3814190";"11652108";"4091913";"12534795";"4527662";"13596446";"4979232"
"MI";"51001";"    Aripuanã";"100205";"19710";"105647";"16496";"138708";"23346";"168225";"26024";"208213";"26223";"235440";"30420";"211101";"36825";"149106";"30439";"211996";"34804";"203059";"33490";"220648";"42753";"209200";"33098";"254968";"49189";"289634";"61650";"301419";"50803";"332592";"63151";"329039";"67506";"389476";"118586";"389995";"121816";"421168";"149521";"427203";"147655";"434773";"129661";"489629";"166094";"586163";"215934"
"MU";"5101407";"      Aripuanã";"9390";"2600";"2793";"1000";"3848";"1540";"4660";"2500";"4265";"1500";"6140";"2800";"8715";"4480";"2823";"1000";"2794";"1000";"2929";"1100";"2837";"1003";"3551";"1303";"2953";"1303";"3030";"1505";"2679";"1155";"4055";"2055";"4310";"2700";"5520";"3800";"5425";"3500";"6827";"4400";"6752";"4105";"8484";"4905";"10439";"5515";"19846";"8330"
"MU";"5101902";"      Brasnorte";"74565";"9300";"76685";"4475";"97055";"2900";"120013";"8500";"157463";"9200";"193411";"11000";"167443";"15800";"117482";"15030";"185357";"22980";"178977";"21440";"197119";"30600";"192018";"25235";"238416";"41100";"275111";"55015";"286663";"45200";"304907";"52300";"307805";"60200";"365260";"107800";"359332";"108000";"388796";"134000";"392671";"132500";"390400";"111471";"433780";"143545";"498965";"182500"
"MU";"5102850";"      Castanheira";"2490";"900";"2089";"1001";"1982";"850";"2219";"1023";"3373";"1023";"2645";"1320";"1514";"710";"1070";"400";"1102";"400";"1165";"400";"1838";"1000";"1761";"1000";"1762";"976";"1171";"480";"585";"150";"807";"400";"655";"280";"425";"120";"396";"120";"430";"150";"382";"100";"1812";"110";"1177";"264";"2454";"272"
"MU";"5103254";"      Colniza";"...";"...";"7130";"2000";"19415";"10000";"23430";"5000";"26760";"6000";"15275";"6000";"14800";"6010";"10462";"5437";"8165";"3100";"7980";"3200";"7995";"3200";"5650";"1840";"5429";"1870";"4670";"2170";"3800";"2100";"5195";"3100";"3095";"1100";"4390";"2300";"5375";"3180";"5975";"3870";"4845";"2865";"5125";"3115";"5212";"3115";"5357";"3372"
"MU";"5103379";"      Cotriguaçu";"3276";"1320";"4862";"1400";"6581";"2500";"5587";"2875";"6625";"3200";"6515";"3500";"7346";"4025";"5692";"2500";"6045";"2700";"4368";"2700";"4268";"3000";"2904";"2100";"3230";"2340";"2103";"1200";"1283";"550";"1123";"450";"1137";"550";"1300";"700";"1850";"850";"2024";"950";"2648";"1000";"3219";"1300";"4547";"1755";"10130";"6000"
"MU";"5105150";"      Juína";"7807";"4300";"7632";"4500";"7642";"4500";"10049";"5120";"6959";"4050";"8853";"4500";"6630";"3700";"6510";"3250";"5820";"3350";"5160";"3350";"5170";"3350";"2190";"1100";"2193";"1100";"2993";"1100";"5727";"1310";"15973";"4600";"11551";"2480";"11183";"2980";"15105";"4480";"14633";"4481";"17703";"5425";"22956";"6800";"30135";"9200";"43850";"12350"
"MU";"5105176";"      Juruena";"2677";"1290";"2882";"1300";"902";"400";"1158";"350";"2060";"800";"1440";"800";"4185";"2000";"3546";"2000";"1836";"900";"1383";"700";"728";"250";"381";"100";"685";"350";"326";"100";"502";"238";"389";"146";"354";"116";"1273";"806";"2387";"1606";"2391";"1610";"2148";"1620";"2694";"1920";"4072";"2660";"5294";"3070"
"MU";"5107578";"      Rondolândia";"...";"...";"1574";"820";"1283";"656";"1109";"656";"708";"450";"1161";"500";"468";"100";"1521";"822";"877";"374";"1097";"600";"693";"350";"745";"420";"300";"150";"230";"80";"180";"100";"143";"100";"132";"80";"125";"80";"125";"80";"92";"60";"54";"40";"83";"40";"267";"40";"267";"40"
"MI";"51002";"    Alta Floresta";"50814";"9900";"30270";"7250";"27150";"7000";"22441";"7331";"25834";"7900";"31085";"7820";"18281";"7845";"13333";"6345";"17240";"7920";"15827";"5600";"13212";"3300";"11643";"2550";"6087";"1318";"16188";"2750";"22361";"4040";"32260";"7118";"32289";"6505";"47209";"14165";"54738";"16890";"73759";"24070";"91451";"27070";"100314";"26271";"166827";"44540";"297160";"122659"
"MU";"5100250";"      Alta Floresta";"12223";"1500";"10042";"2000";"7525";"700";"5720";"880";"6548";"800";"11721";"800";"4140";"1095";"2930";"1095";"4228";"750";"4090";"250";"5101";"800";"3970";"600";"1556";"200";"7814";"1050";"10548";"2150";"18076";"4018";"17361";"3400";"28376";"9308";"34097";"12000";"41691";"15000";"43238";"15000";"43853";"11021";"76514";"20000";"133209";"58507"
"MU";"5100805";"      Apiacás";"2500";"1000";"2223";"650";"2290";"800";"2270";"1000";"3900";"1600";"3360";"1600";"3450";"1700";"972";"500";"2540";"1900";"1695";"1200";"1095";"600";"1410";"800";"945";"300";"725";"150";"82";"-";"150";"-";"262";"-";"55";"-";"59";"-";"28";"-";"31";"-";"1509";"400";"2051";"400";"3043";"1250"
"MU";"5102793";"      Carlinda";"11400";"1300";"3850";"1000";"3268";"1000";"3262";"1201";"3041";"1000";"3827";"1040";"2162";"1000";"1512";"500";"1042";"420";"1182";"500";"1154";"200";"960";"150";"1045";"150";"3380";"600";"7570";"1250";"8475";"1800";"8659";"2050";"11038";"3474";"10790";"3500";"17081";"6000";"20240";"6000";"20417";"6665";"28607";"8052";"49673";"21902"
"MU";"5106158";"      Nova Bandeirantes";"6116";"1400";"1640";"600";"1886";"600";"1999";"650";"2119";"700";"2419";"700";"1864";"900";"1944";"1000";"1170";"600";"3070";"950";"2574";"750";"2103";"50";"721";"168";"1231";"240";"557";"20";"453";"100";"330";"5";"455";"55";"351";"90";"392";"70";"638";"70";"1488";"350";"6863";"1480";"21756";"8000"
"MU";"5108956";"      Nova Monte Verde";"4310";"2000";"4250";"1500";"4770";"1800";"2740";"1300";"2920";"1400";"3010";"1500";"3510";"1800";"3600";"1900";"4540";"2200";"2790";"1500";"583";"450";"684";"400";"683";"400";"923";"400";"746";"200";"1106";"200";"1422";"50";"2627";"305";"3687";"300";"2893";"-";"5344";"-";"11071";"1835";"23095";"6157";"42083";"12000"
"MU";"5106299";"      Paranaíta";"14265";"2700";"8265";"1500";"7411";"2100";"6450";"2300";"7306";"2400";"6748";"2180";"3155";"1350";"2375";"1350";"3720";"2050";"3000";"1200";"2705";"500";"2516";"550";"1137";"100";"2115";"310";"2858";"420";"4000";"1000";"4255";"1000";"4658";"1023";"5754";"1000";"11674";"3000";"21960";"6000";"21976";"6000";"29697";"8451";"47396";"21000"
"MI";"51003";"    Colíder";"95464";"16000";"63013";"11100";"58177";"9980";"59338";"18431";"67294";"16395";"80331";"12970";"43322";"11180";"36537";"9433";"50757";"17300";"44667";"14900";"59732";"10670";"56338";"9334";"88029";"23550";"147723";"39702";"195105";"39150";"220964";"45672";"241792";"58700";"266816";"76113";"253583";"65500";"358314";"114409";"385767";"124700";"424458";"134953";"500565";"163843";"607064";"224220"
"MU";"5103205";"      Colíder";"6686";"1300";"4372";"2000";"3706";"400";"290";"100";"1237";"178";"3960";"700";"1373";"400";"1649";"520";"4253";"3000";"5253";"3500";"627";"50";"1772";"200";"3498";"1100";"5908";"1450";"7440";"2300";"11689";"2820";"14670";"3000";"19897";"6840";"17809";"5000";"24642";"8440";"26134";"9000";"30346";"9662";"39251";"10526";"50835";"14000"
"MU";"5104104";"      Guarantã do Norte";"16041";"3050";"5033";"2150";"5326";"2500";"7745";"4200";"6113";"2100";"7720";"2000";"3655";"800";"3345";"400";"4345";"950";"3415";"900";"3636";"500";"3470";"500";"5545";"1300";"14435";"4300";"15835";"2300";"18903";"2548";"17302";"2500";"20610";"4000";"21410";"4300";"23613";"5900";"25110";"8000";"26210";"8800";"25510";"8800";"39158";"13000"
"MU";"5105606";"      Matupá";"24382";"3500";"16968";"1150";"17000";"2700";"21147";"6000";"15921";"2960";"18066";"2500";"9135";"2800";"7849";"2175";"11224";"3050";"9671";"3500";"7984";"1000";"7884";"1500";"11886";"2000";"24886";"2000";"40636";"7000";"62651";"13982";"67664";"18000";"65864";"21000";"60664";"17000";"79164";"28300";"83364";"31000";"83164";"35000";"94164";"35000";"97164";"38000"
"MU";"5106216";"      Nova Canaã do Norte";"5018";"1000";"5735";"1000";"3015";"1000";"4626";"1231";"7145";"1600";"9916";"1070";"9555";"1650";"9146";"3000";"14513";"4550";"10725";"4000";"20320";"4000";"21784";"3724";"41025";"15000";"60252";"25000";"59235";"18000";"44196";"9498";"48703";"15000";"47425";"11733";"46820";"10000";"64727";"23119";"71790";"25000";"74859";"21491";"90951";"24517";"112974";"34000"
"MU";"5108808";"      Nova Guarita";"5215";"1200";"4540";"1000";"3510";"1000";"4600";"1700";"6577";"3000";"12240";"2100";"5205";"1000";"4605";"1000";"2740";"1500";"1955";"600";"4305";"500";"2723";"800";"4260";"700";"9472";"3502";"12359";"2600";"10463";"2274";"11476";"2700";"15857";"5540";"11563";"3500";"19070";"6000";"18355";"7500";"19455";"5000";"24185";"10000";"35738";"17220"
"MU";"5106265";"      Novo Mundo";"16360";"1400";"10930";"1500";"13080";"650";"9255";"3000";"15004";"3400";"11574";"1800";"5780";"2730";"3848";"1338";"6060";"1650";"7410";"300";"15260";"2150";"9110";"1000";"8535";"1500";"11000";"1500";"21630";"2800";"32307";"8000";"39466";"10000";"46207";"13500";"43407";"11200";"69307";"20600";"73404";"20000";"76404";"22000";"101404";"35000";"120972";"46000"
"MU";"5106422";"      Peixoto de Azevedo";"12737";"2750";"9680";"1500";"6830";"1030";"5390";"900";"6755";"1000";"6875";"800";"3650";"800";"2970";"600";"4554";"1600";"3470";"600";"4390";"1050";"5975";"750";"7130";"950";"9130";"950";"19350";"2150";"19585";"2750";"18670";"3000";"27693";"7500";"30170";"10000";"47520";"12850";"54870";"14200";"58670";"15000";"73670";"22000";"96857";"40000"
"MU";"5108055";"      Terra Nova do Norte";"9025";"1800";"5755";"800";"5710";"700";"6285";"1300";"8542";"2157";"9980";"2000";"4969";"1000";"3125";"400";"3068";"1000";"2768";"1500";"3210";"1420";"3620";"860";"6150";"1000";"12640";"1000";"18620";"2000";"21170";"3800";"23841";"4500";"23263";"6000";"21740";"4500";"30271";"9200";"32740";"10000";"55350";"18000";"51430";"18000";"53366";"22000"
"MI";"51004";"    Parecis";"1086571";"57480";"1117304";"66690";"1207767";"103465";"1380808";"156910";"1605556";"182100";"1727225";"215385";"1686073";"203783";"1685439";"331311";"1800570";"372185";"1774878";"344942";"1850472";"372240";"1862364";"341654";"2031371";"421288";"2175886";"512403";"2263856";"491981";"2265062";"536771";"2283138";"608169";"2497760";"776342";"2510727";"668802";"2654171";"710100";"2620829";"694500";"2790188";"867889";"2918357";"898355";"2906232";"753359"
"MU";"5102637";"      Campo Novo do Parecis";"395507";"16080";"374749";"18931";"357282";"10300";"407436";"35800";"447953";"31020";"447486";"35700";"470042";"32050";"462692";"87210";"514992";"109118";"507252";"112531";"508880";"107300";"524188";"92500";"583126";"107000";"632581";"131820";"665325";"145000";"622761";"115450";"636842";"146800";"711673";"233358";"742039";"215000";"781675";"233000";"781632";"220000";"758932";"228095";"821622";"265000";"748197";"160393"
"MU";"5102686";"      Campos de Júlio";"135649";"3900";"166773";"21018";"183667";"20950";"225178";"35348";"271505";"50500";"293472";"51187";"311845";"48495";"268793";"70593";"296907";"75442";"295152";"72568";"288771";"63090";"306247";"69568";"325575";"87006";"343862";"97175";"352822";"99181";"351608";"110036";"363449";"129036";"385565";"138129";"369673";"110002";"385130";"109600";"371000";"93000";"433910";"160601";"406004";"131000";"422115";"130000"
"MU";"5103304";"      Comodoro";"8322";"2000";"12285";"2650";"12107";"1950";"17460";"3000";"28547";"3900";"58844";"12062";"61296";"9500";"56472";"9500";"68065";"19000";"46173";"8500";"52720";"8000";"53517";"6000";"63930";"17000";"88851";"20000";"86365";"18500";"93461";"25000";"102161";"32200";"106498";"35500";"123918";"36500";"127734";"40500";"137331";"45500";"133838";"37955";"168895";"61000";"190465";"71000"
"MU";"5103502";"      Diamantino";"257890";"13000";"257229";"9000";"271592";"16180";"305631";"12120";"370577";"11580";"403565";"44781";"362514";"49888";"378825";"49898";"414861";"61160";"383738";"44500";"423284";"71000";"389888";"55586";"429655";"76200";"464377";"95200";"496260";"82300";"525222";"126595";"523031";"150600";"603187";"182500";"594899";"167300";"685649";"215000";"662362";"226000";"730446";"269351";"759947";"277314";"805245";"263811"
"MU";"5107875";"      Sapezal";"289203";"22500";"306268";"15091";"383119";"54085";"425103";"70642";"486974";"85100";"523858";"71655";"480376";"63850";"518657";"114110";"505745";"107465";"542563";"106843";"576817";"122850";"588524";"118000";"629085";"134082";"646215";"168208";"663084";"147000";"672010";"159690";"657655";"149533";"690837";"186855";"680198";"140000";"673983";"112000";"668504";"110000";"733062";"171887";"761889";"164041";"740210";"128155"
"MI";"51005";"    Arinos";"87927";"7650";"106845";"10586";"153904";"14054";"174290";"16220";"291812";"29192";"408637";"34130";"341497";"30927";"289196";"43460";"462677";"94066";"364923";"58750";"384506";"62386";"551789";"92828";"630815";"126400";"771047";"192650";"824982";"182700";"904172";"209322";"903404";"219500";"1084305";"351392";"1053742";"327000";"1137476";"362922";"1227934";"422000";"1254370";"425800";"1424183";"534200";"1633726";"637000"
"MU";"5105101";"      Juara";"6106";"2850";"6577";"3700";"5581";"2800";"4091";"2200";"5905";"2530";"3530";"1800";"2825";"1500";"2635";"1200";"3095";"1800";"2167";"1500";"3574";"1200";"4076";"500";"2386";"300";"10356";"1500";"16856";"2500";"43206";"10000";"51056";"10000";"67556";"20000";"68556";"18000";"68765";"16200";"74065";"18000";"83156";"20600";"108246";"32000";"169166";"59000"
"MU";"5108907";"      Nova Maringá";"19075";"1300";"17525";"270";"27037";"850";"51377";"1950";"60345";"5050";"87533";"4100";"74701";"1900";"61150";"5300";"127360";"19125";"116698";"13900";"131372";"20500";"177465";"30000";"170855";"35000";"211945";"45000";"228424";"50000";"227479";"40000";"245669";"57000";"266815";"83600";"271253";"80000";"298205";"91000";"326752";"110000";"309735";"100000";"312410";"110000";"398510";"160000"
"MU";"5106273";"      Novo Horizonte do Norte";"1774";"300";"3377";"1466";"4330";"1956";"3767";"1850";"4035";"2000";"1960";"630";"1313";"600";"1579";"800";"2050";"1440";"401";"150";"881";"450";"336";"100";"380";"100";"514";"100";"1964";"200";"6564";"1810";"8154";"2000";"10174";"3000";"8854";"2000";"7554";"2000";"10354";"2000";"9554";"1200";"8154";"1200";"14854";"3000"
"MU";"5106802";"      Porto dos Gaúchos";"5960";"900";"11512";"1200";"17445";"3650";"18895";"3400";"64509";"10242";"95021";"12300";"47245";"7400";"48471";"14600";"70805";"26650";"23605";"7200";"26798";"4500";"92168";"20000";"101180";"25000";"117080";"30000";"158080";"35000";"219500";"59512";"219565";"60000";"278293";"97109";"271080";"92000";"301916";"103588";"321193";"120000";"313637";"120000";"346320";"137000";"367610";"150000"
"MU";"5107305";"      São José do Rio Claro";"47724";"1100";"55769";"2950";"80284";"2300";"65620";"2600";"84425";"1130";"103499";"4400";"104996";"5627";"98893";"7600";"118337";"14591";"113954";"16000";"133310";"15736";"138915";"10210";"151626";"20000";"161905";"30000";"173195";"30000";"165121";"25000";"159284";"20500";"188799";"51000";"181070";"40000";"203879";"55000";"225850";"70000";"215444";"63000";"250566";"80000";"268510";"85000"
"MU";"5107941";"      Tabaporã";"7288";"1200";"12085";"1000";"19227";"2498";"30540";"4220";"72593";"8240";"117094";"10900";"110417";"13900";"76468";"13960";"141030";"30460";"108098";"20000";"88571";"20000";"138829";"32018";"204388";"46000";"269247";"86050";"246463";"65000";"242302";"73000";"219676";"70000";"272668";"96683";"252929";"95000";"257157";"95134";"269720";"102000";"322844";"121000";"398487";"174000";"415076";"180000"
"MI";"51006";"    Alto Teles Pires";"1298255";"185760";"1359492";"183944";"1700771";"308323";"1967979";"354820";"2225973";"358430";"2426380";"398023";"2360606";"418362";"2560311";"707390";"2703821";"692715";"2621142";"601827";"2807065";"735020";"2866766";"655744";"3210702";"962417";"3574978";"1229552";"3595871";"1081550";"3666810";"1161450";"3790477";"1247272";"4101021";"1582718";"3908727";"1378930";"4217092";"1578063";"4360884";"1655090";"4403914";"1736930";"4594243";"1847530";"4741598";"1929210"
"MU";"5104526";"      Ipiranga do Norte";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"207104";"45450";"180215";"36285";"169292";"42900";"232533";"65000";"238274";"60250";"257841";"70000";"225777";"61100";"252117";"70000";"262676";"83300";"274631";"75000";"285456";"85000";"292156";"86000";"361562";"120000";"344704";"100500";"381500";"138500";"409184";"150000";"421194";"165000";"444536";"175000";"452512";"180000"
"MU";"5104542";"      Itanhangá";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"74370";"9000";"50861";"3090";"59494";"20868";"62996";"15280";"69530";"17750";"77750";"22150";"72380";"15000";"90745";"25000";"99830";"22000";"106730";"20000";"112630";"22000";"113930";"18000";"139130";"40000";"139630";"37500";"161315";"56000";"175035";"60000";"171835";"50000";"185778";"60000";"217013";"85000"
"MU";"5105259";"      Lucas do Rio Verde";"258458";"71000";"273635";"77466";"314204";"122500";"357324";"140000";"332623";"100290";"382847";"146248";"384864";"147057";"412343";"175073";"409055";"160480";"378567";"138000";"420914";"165800";"395240";"135330";"420445";"165263";"443154";"180440";"436825";"142000";"437459";"160450";"449874";"177450";"439575";"183075";"442511";"172600";"450757";"165600";"447561";"150000";"460306";"170000";"455236";"163000";"459060";"165000"
"MU";"5105903";"      Nobres";"9653";"2000";"6068";"2000";"6599";"2020";"7987";"1100";"8366";"1350";"39416";"4035";"18764";"2310";"12974";"2700";"14115";"2800";"12092";"1467";"12880";"1800";"23489";"5090";"31051";"8122";"35634";"10630";"57975";"18500";"53461";"10300";"65734";"21935";"63652";"21241";"56714";"17990";"64871";"23230";"69964";"24680";"70253";"24280";"80100";"30030";"86449";"29210"
"MU";"5106224";"      Nova Mutum";"239463";"25300";"203282";"16833";"237423";"25300";"350850";"68580";"434418";"83200";"455655";"66240";"416048";"52517";"446315";"101333";"453512";"78750";"440478";"86500";"448215";"90000";"468333";"80500";"531165";"125400";"623590";"202200";"612577";"175150";"617803";"180150";"676072";"232387";"695542";"272743";"669607";"236750";"702436";"260000";"717689";"290000";"711323";"286000";"741321";"306500";"770875";"320000"
"MU";"5106240";"      Nova Ubiratã";"122577";"8050";"75301";"3200";"150105";"6500";"160875";"5440";"225847";"15890";"270875";"16950";"274073";"34595";"290820";"63070";"300070";"50800";"338117";"62000";"349356";"75000";"376118";"79594";"415174";"106712";"514070";"170827";"544152";"162000";"575320";"190000";"589800";"173600";"607614";"205404";"597155";"202000";"702298";"274861";"784078";"315000";"739712";"302650";"782323";"331000";"803123";"340000"
"MU";"5107768";"      Santa Rita do Trivelato";"...";"...";"77020";"6990";"105198";"15283";"111400";"18500";"172884";"20200";"157470";"9600";"189671";"20606";"194984";"35000";"198992";"41365";"176551";"25160";"185666";"38000";"217713";"35000";"237008";"66500";"253320";"75000";"260780";"72000";"262986";"70000";"255116";"62000";"275760";"110840";"259902";"85740";"278727";"95500";"298080";"103500";"288500";"95000";"308428";"115000";"321000";"120000"
"MU";"5107925";"      Sorriso";"504840";"55780";"512560";"45455";"588162";"81120";"623346";"56200";"707848";"101000";"660489";"60500";"711902";"95166";"810139";"228266";"847869";"235240";"809149";"182000";"875839";"230120";"875716";"211030";"1015955";"350420";"1095874";"413900";"1060371";"371800";"1078045";"396950";"1096880";"422800";"1205627";"529320";"1093477";"432000";"1162348";"468622";"1139478";"466510";"1218591";"544000";"1217301";"535000";"1217801";"535000"
"MU";"5108006";"      Tapurah";"163264";"23630";"211626";"32000";"299080";"55600";"356197";"65000";"343987";"36500";"178154";"40000";"134208";"26736";"163950";"38180";"184679";"43000";"158384";"28700";"178604";"42150";"212000";"33100";"217042";"45000";"246830";"71255";"241830";"45100";"243650";"46600";"250915";"53100";"312559";"100095";"305027";"93850";"312840";"95750";"319815";"95400";"322200";"100000";"379220";"132000";"413765";"155000"
